,1,2
0,"[90.40885416666669, '']",[88.36328124999997]
1,"[76.42708333333329, '']",[74.81770833333331]
2,"[105.88281249999999, '']",[103.80598958333336]
3,"[130.84114583333326, '']",[129.65234374999983]
4,"[103.9388020833335, '']",[102.40625]
5,"[100.57552083333312, '']",[99.08203125000009]
6,"[110.76432291666639, '']",[109.49088541666674]
7,"[88.57291666666659, '']",[86.3580729166667]
8,"[121.97916666666652, '']",[119.92838541666647]
9,"[139.78645833333337, '']",[137.9309895833332]
10,"[87.41276041666671, '']",[86.02473958333334]
11,"[93.34505208333329, '']",[91.39322916666663]
12,"[80.33723958333334, '']",[79.61067708333361]
13,"[83.08854166666657, '']",[81.546875]
14,"[83.84635416666652, '']",[81.81249999999996]
15,"[122.5221354166666, '']",[120.7031249999996]
16,"[128.90755208333326, '']",[126.82031249999963]
17,"[176.5976562499999, '']",[174.73567708333334]
18,"[95.56380208333324, '']",[93.67578124999994]
19,"[120.14843749999991, '']",[117.89583333333314]
20,"[108.35677083333314, '']",[106.640625]
21,"[105.8971354166664, '']",[104.6158854166665]
22,"[126.21223958333313, '']",[125.07682291666661]
23,"[135.7721354166665, '']",[133.87109374999977]
24,"[152.86848958333363, '']",[150.9101562499998]
25,"[148.01953124999994, '']",[146.33203124999994]
26,"[176.71484375000026, '']",[174.76041666666674]
27,"[176.99869791666697, '']",[175.56770833333326]
28,"[176.33463541666674, '']",[174.5742187500003]
29,"[171.77994791666669, '']",[169.98828125]
30,"[124.1692708333332, '']",[122.7890625]
31,"[121.66406250000017, '']",[119.97526041666649]
32,"[158.5924479166667, '']",[156.73177083333343]
33,"[181.09895833333343, '']",[179.3619791666663]
34,"[185.9231770833333, '']",[184.28255208333348]
35,"[194.07812500000006, '']",[191.6249999999998]
36,"[191.21484375, '']",[188.68749999999997]
37,"[179.7252604166665, '']",[178.10546875000045]
38,"[183.8671875000003, '']",[181.8085937500005]
39,"[201.5611979166663, '']",[199.70052083333275]
40,"[205.91666666666606, '']",[204.02083333333292]
41,"[168.42838541666663, '']",[166.5143229166668]
42,"[118.21744791666676, '']",[116.0091145833334]
43,"[145.6757812499999, '']",[144.05859375000009]
44,"[205.91536458333334, '']",[203.3671875]
45,"[214.64192708333334, '']",[213.22656249999994]
46,"[213.0755208333334, '']",[211.33854166666694]
47,"[174.0611979166668, '']",[172.34765625000014]
48,"[171.4401041666666, '']",[169.63411458333343]
49,"[169.28385416666666, '']",[168.03776041666669]
50,"[179.27604166666654, '']",[176.8046874999996]
51,"[129.13020833333306, '']",[127.11718749999976]
52,"[102.14192708333317, '']",[99.87109374999982]
53,"[127.72135416666677, '']",[124.87890625000013]
54,"[154.5312499999999, '']",[152.2447916666665]
55,"[106.05338541666681, '']",[103.94010416666664]
56,"[85.83854166666681, '']",[83.97526041666656]
57,"[97.28255208333346, '']",[95.13020833333331]
58,"[104.17968750000027, '']",[102.16536458333324]
59,"[123.01822916666676, '']",[120.95833333333347]
60,"[168.73958333333337, '']",[166.76822916666657]
61,"[117.70052083333323, '']",[116.62760416666669]
62,"[103.48307291666671, '']",[101.99088541666673]
63,"[92.75911458333307, '']",[91.14322916666666]
64,"[102.05468749999996, '']",[99.68229166666644]
65,"[132.0273437499997, '']",[130.19661458333314]
66,"[146.1809895833333, '']",[144.60677083333337]
67,"[147.52213541666686, '']",[145.98958333333346]
68,"[90.63020833333336, '']",[89.43098958333344]
69,"[140.63151041666688, '']",[139.6757812500001]
70,"[121.01822916666653, '']",[119.6341145833332]
71,"[95.09505208333334, '']",[93.07552083333313]
72,"[102.8971354166667, '']",[101.20442708333326]
73,"[120.89583333333337, '']",[118.82942708333337]
74,"[141.96744791666677, '']",[140.06770833333331]
75,"[92.74348958333326, '']",[91.36328125000001]
76,"[133.47395833333314, '']",[131.59765624999986]
77,"[157.73567708333334, '']",[156.18750000000006]
78,"[138.95442708333314, '']",[136.82421875]
79,"[128.03776041666663, '']",[126.24479166666657]
80,"[95.92317708333326, '']",[94.3619791666665]
81,"[81.93750000000001, '']",[79.96744791666669]
82,"[100.55989583333347, '']",[98.59244791666646]
83,"[134.5169270833333, '']",[132.78125000000006]
84,"[110.29557291666686, '']",[109.10416666666698]
85,"[104.56901041666652, '']",[103.16406249999989]
86,"[112.19531250000003, '']",[110.97395833333347]
87,"[107.2916666666667, '']",[105.73828124999989]
88,"[114.3932291666668, '']",[112.5286458333334]
89,"[149.59765625000006, '']",[147.46875]
90,"[92.90624999999974, '']",[91.70182291666666]
91,"[114.44531250000014, '']",[113.00000000000023]
92,"[95.13932291666688, '']",[93.72656250000009]
93,"[91.54817708333343, '']",[89.99609375000001]
94,"[90.26432291666681, '']",[88.40625]
95,"[122.11588541666656, '']",[120.47135416666652]
96,"[130.74348958333314, '']",[129.15755208333326]
97,"[176.45963541666657, '']",[174.9231770833333]
98,"[92.46093749999986, '']",[90.90104166666654]
99,"[111.17057291666656, '']",[109.80989583333303]
100,"[98.05078124999983, '']",[96.48828125]
101,"[122.60286458333316, '']",[120.91276041666643]
102,"[142.88411458333346, '']",[141.2135416666664]
103,"[157.1054687500001, '']",[155.54947916666669]
104,"[151.27604166666669, '']",[149.7317708333333]
105,"[151.6484374999999, '']",[149.46874999999994]
106,"[167.74999999999991, '']",[166.2161458333332]
107,"[138.42968750000003, '']",[136.59114583333331]
108,"[131.8776041666664, '']",[130.31380208333312]
109,"[188.91796875000003, '']",[186.9257812500005]
110,"[166.40104166666652, '']",[165.23046874999994]
111,"[164.80468750000003, '']",[163.61979166666669]
112,"[163.43750000000006, '']",[161.82552083333374]
113,"[155.01041666666666, '']",[153.22265624999997]
114,"[156.7747395833334, '']",[155.25390624999983]
115,"[158.83854166666674, '']",[157.43359375000014]
116,"[174.92187499999986, '']",[172.42708333333354]
